eumember,country,country_abb,year,expert,party_id,party,partyname1,partyname2,membership,std_membership,salience2,std_salience2,dissent3,std_dissent3,require_econ,require_pol,require_gov,lrgen,std_lrgen,lrecon,std_lrecon,galtan,std_galtan,pubserv,redist,religion,cosmo,minor
0,      32,MKD,2007,5,3206,VMRO-NP,Vnatrešna Makedonska Revolucionerna Organizacija–Narodna Partija,Internal Macedonian Revolutionary Organization–People's Party,5,1.414,2.4,1.14,1.5,1.915,4.25,3.4,4.8,8,1,6.75,1.258,9,.816,6.67,6.75,8.5,8.75,8.8
0,      32,MKD,2007,5,3207,NSDP,Nova socijaldemokratska partija,New Social Democratic Party,5.8,1.304,2.8,1.304,1.75,1.258,5.2,5.25,5,3.6,.894,3.5,1,4.5,1.732,4.25,3.5,4,4.4,6
0,      33,SER,2007,9,3301,SRS,Srpska radikalna stranka,Serbian Radical Party,2.11,.928,2.22,.667,2.13,1.727,2.5,1.11,3.44,8.56,1.333,2,2.121,9.33,1.323,3.57,1.63,8.44,9.89,7.22
0,      33,SER,2007,9,3302,DS,Demokratska stranka,Democratic Party,6.22,.833,3.89,.333,1.5,1.512,6,6,6.11,4.33,1.414,6.11,2.147,3.56,1.878,4.86,6.38,4.78,3.44,2.33
0,      33,SER,2007,9,3303,DSS,Demokratska stranka Srbije,Democratic Party of Serbia,4.11,1.453,2.89,1.054,4.88,2.167,4.33,3.56,4.89,6.78,1.716,4.33,2.062,6.33,1.803,4.71,5,7.56,8.22,5.11
0,      33,SER,2007,9,3304,NS,Nova Srbija,New Serbia,3.67,1.732,2.56,.882,2.83,2.041,4.44,3.22,4.38,7.11,1.764,3.67,1.803,6.78,2.108,4.43,4.88,7.78,8.22,5.33
0,      33,SER,2007,9,3305,JS,Jedinstvena Srbija,United Serbia,3.5,2.082,2,.707,2.75,2.217,4.2,3.2,4.25,6.8,2.28,5,2.449,7,2.121,5.25,6.5,6.67,7.6,6.6
0,      33,SER,2007,9,3306,G17+,G17 Plus,G17 Plus,6.44,.527,3.89,.333,1.38,1.598,6.33,6.33,6.22,4.44,1.81,7,2.646,2.67,1.323,6.29,8.63,2.78,2.44,1.78
0,      33,SER,2007,9,3307,SPS,Socijalistic(ka partija Srbije,Socialist Party of Serbia,3.22,1.787,2.33,.866,3.13,2.416,3.56,2.67,4,2.56,2.128,1.89,2.088,7.44,1.333,3.14,1.25,4.25,8.56,5
0,      33,SER,2007,9,3308,LDP,Liberalno-Demokratska Partija,Liberal Democratic Party,6.78,.667,4,0,.5,1.069,6.67,6.44,6.56,3.67,1.871,7.78,2.224,.78,1.093,6.57,8.38,1,.56,1.13
0,      33,SER,2007,9,3309,SPO,Srpski pokret obnove,Serbian Renewal Movement,5.67,.866,3.11,.601,2.71,2.215,5.44,5.22,5.56,6.44,2.186,5.22,1.302,5.44,.726,4.71,5.63,8,6.22,1.885
0,      34,TUR,2007,8,3401,AKP,Adalet ve Kalk?nma Partisi,Justice and Development Party,5.88,.641,3.13,.991,3.43,2.507,6.25,5.38,4.38,7,1.309,7.75,1.165,7.88,1.642,5,6.25,8.71,5,5.25
0,      34,TUR,2007,8,3402,CHP,Cumhuriyet Halk Partisi,Republican People's Party,2.88,.991,1.88,.641,3.86,1.676,3.14,3.71,4.63,5.29,1.799,3.5,.756,4.75,1.832,3.71,4.14,1.75,7.38,6
0,      34,TUR,2007,8,3403,MHP,Milliyetçi Hareket Partisi,Nationalist Movement Party,1.5,.756,1.5,.756,1.86,2.478,2,1.57,2.14,9,.926,4.86,1.215,8.75,1.035,4,5.67,8,9.63,8.88
0,      34,TUR,2007,8,3404,DYP,Dogru Yol Partisi,True Path Party,3.33,1.751,1.17,.408,2,1.732,3,3.8,3.8,6.67,.816,6.2,1.304,6.6,1.14,4.75,5.75,6.6,7.25,7
0,      34,TUR,2007,8,3405,GP,Genç Parti,Young Party,1.71,.756,1.17,.408,3.17,3.869,1.83,2.83,2.83,8.33,1.506,7.17,2.137,8,1.095,6,7,5.5,7.8,7.4
