"country_name_short"	"Country"	"Parlgov.Party.Abbrev"	"Parlgov.Party.Name.English"	"Parlgov.Party.Name"	"party_name_ascii"	"family_name_short"	"family_name"	"left_right"	"state_market"	"liberty_authority"	"eu_anti_pro"	"cmp"	"euprofiler"	"ees"	"castles_mair"	"huber_inglehart"	"ray"	"benoit_laver"	"Recommended.CHES.party.id"	"country_id"	"ParlGov.party.id"	"family_id"	"CSIS.CHES.party.id"
"AUS"	"Australia"	"LCL"	"Liberal and Country League"	"Liberal and Country League"	"Liberal and Country League"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	33	1919	11	NA
"AUS"	"Australia"	"LCP-V"	"Liberal Country Party (Vic)"	"Liberal Country Party (Vic)"	"Liberal Country Party (Vic)"	"agr"	"Agrarian"	5.1	4.9	6.7	5.5	NA	NA	NA	NA	NA	NA	NA	NA	33	1939	2	NA
"AUS"	"Australia"	"LD-NSW"	"Liberal Democratic Party (New South Wales)"	"Liberal Democratic Party (New South Wales)"	"Liberal Democratic Party (New South Wales)"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1927	6	NA
"AUS"	"Australia"	"LLP"	"Lang Labour Party"	"Lang Labour Party"	"Lang Labour Party"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	33	303	11	NA
"AUS"	"Australia"	"LNPQ"	"Liberal National Party of Queensland"	"Liberal National Party of Queensland"	"Liberal National Party of Queensland"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	154	6	NA
"AUS"	"Australia"	"LP"	"Liberal Party"	"Liberal Party"	"Liberal Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	2286	26	NA
"AUS"	"Australia"	"LPA"	"Liberal Party of Australia"	"Liberal Party of Australia"	"Liberal Party of Australia"	"con"	"Conservative"	7.3903	8.4211	6.9825	7.8	63620	NA	NA	103	205	NA	4757	NA	33	1411	26	NA
"AUS"	"Australia"	"NAT"	"Nationalist Party of Australia"	"Nationalist Party of Australia"	"Nationalist Party of Australia"	"right"	"Right-wing"	8.7	5.9	8.6	2.4	NA	NA	NA	NA	NA	NA	NA	NA	33	1905	40	NA
"AUS"	"Australia"	"NAT-WA"	"Nationalist"	"Nationalist"	"Nationalist"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1925	26	NA
"AUS"	"Australia"	"NCP|NPA"	"National (Country) Party | National Party of Australia"	"National (Country) Party | National Party of Australia"	"National (Country) Party | National Party of Australia"	"con"	"Conservative"	7.8222	6.2456	8.4561	7.8	63810	NA	NA	104	206	NA	4775	NA	33	184	26	NA
"AUS"	"Australia"	"NF-NSW"	"Nationalist and Farmers (NSW)"	"Nationalist and Farmers (NSW)"	"Nationalist and Farmers (NSW)"	"code"	"to be coded"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1918	28	NA
"AUS"	"Australia"	"NL"	"National Labor"	"National Labor"	"National Labor"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	33	2003	11	NA
"AUS"	"Australia"	"ONP"	"One Nation Party"	"One Nation Party"	"One Nation Party"	"right"	"Right-wing"	8.1579	5.3008	7.9649	2.4	NA	NA	NA	NA	NA	NA	4793	NA	33	386	40	NA
"AUS"	"Australia"	"OPA"	"One Parliament for Australia"	"One Parliament for Australia"	"One Parliament for Australia"	"code"	"to be coded"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1936	28	NA
"AUS"	"Australia"	"PP"	"Protectionist Party"	"Protectionist Party"	"Protectionist Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1898	26	NA
"AUS"	"Australia"	"PUP"	"Palmer United Party"	"Palmer United Party"	"Palmer United Party"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	2259	6	NA
"AUS"	"Australia"	"QC"	"Queensland Country Party"	"Queensland Country Party"	"Queensland Country Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1928	26	NA
"AUS"	"Australia"	"SCP"	"Social Credit Party"	"Social Credit Party"	"Social Credit Party"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1911	16	NA
"AUS"	"Australia"	"SL-NSW"	"State Labor Party (NSW)"	"State Labor Party (NSW)"	"State Labor Party (NSW)"	"com"	"Communist/Socialist"	1.3	1.4	3	3.3	NA	NA	NA	NA	NA	NA	NA	NA	33	1908	14	NA
"AUS"	"Australia"	"SPA"	"Services Party of Australia"	"Services Party of Australia"	"Services Party of Australia"	"code"	"to be coded"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1897	28	NA
"AUS"	"Australia"	"UAP"	"United Australia Party"	"United Australia Party"	"United Australia Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1912	26	NA
"AUS"	"Australia"	"VCP"	"Victorian Country Party"	"Victorian Country Party"	"Victorian Country Party"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1920	26	NA
"AUS"	"Australia"	"VFU-V"	"Victorian Farmers' Union"	"Victorian Farmers' Union"	"Victorian Farmers' Union"	"agr"	"Agrarian"	5.1	4.9	6.7	5.5	NA	NA	NA	NA	NA	NA	NA	NA	33	1929	2	NA
"AUS"	"Australia"	"WAP"	"Western Australian Party"	"Western Australian Party"	"Western Australian Party"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	33	1906	6	NA
"AUS"	"Australia"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	2057	12	NA
"AUS"	"Australia"	"none"	"no party affiliation"	"no party affiliation"	"no party affiliation"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1396	12	NA
"AUS"	"Australia"	"one-seat"	"one seat"	"one seat"	"one seat"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	2299	12	NA
"AUT"	"Austria"	"ALO"	"Alternative List Austria"	"Alternative Liste Österreichs"	"Alternative Liste Oesterreichs"	"eco"	"Green/Ecologist"	2.6	2.6	1.7	6.6	NA	NA	NA	NA	NA	NA	NA	NA	59	1739	19	NA
"AUT"	"Austria"	"ApE"	"Movement for Political Renewal"	"Aktion zur politischen Erneuerung"	"Aktion zur politischen Erneuerung"	"right"	"Right-wing"	8.7	5.9	8.6	2.4	NA	NA	NA	NA	NA	NA	NA	NA	59	1819	40	NA
"AUT"	"Austria"	"BZO"	"Alliance for the Future of Austria"	"Bündnis Zukunft Österreich"	"Buendnis Zukunft Oesterreich"	"right"	"Right-wing"	8.83	6	8.83	2.5	NA	8	1040600	NA	NA	NA	NA	1307	59	1536	40	1307
"AUT"	"Austria"	"CSA"	"Christian social alliance"	"Christlich Soziale Allianz (Liste Karl Habsburg)"	"Christlich Soziale Allianz (Liste Karl Habsburg)"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	NA	NA	NA	NA	NA	NA	NA	NA	59	1752	3	NA
"AUT"	"Austria"	"DFP"	"Democratic Progressive Party"	"Demokratische Fortschrittliche Partei"	"Demokratische Fortschrittliche Partei"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	1743	16	NA
"AUT"	"Austria"	"DU"	"The Independents -- Lugner's List"	"Die Unabhängigen – Liste Lugner"	"Die Unabhaengigen -- Liste Lugner"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	1745	16	NA
"AUT"	"Austria"	"EU-STOP"	"EU Withdrawal, Direct Democracy, Neutrality"	"EU-Austritt, Direkte Demokratie, Neutralität"	"EU-Austritt, Direkte Demokratie, Neutralitaet"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	2340	16	NA
"AUT"	"Austria"	"FPO"	"Freedom Party of Austria"	"Freiheitliche Partei Österreichs"	"Freiheitliche Partei Oesterreichs"	"right"	"Right-wing"	8.3494	6.3291	8.5149	1.9815	42420	10	1040420	204	311	1303	4811	1303	59	50	40	1303
"AUT"	"Austria"	"Fritz"	"The Citizens`Forum Austria"	"Bürgerforum Österreich – Liste Fritz Dinkhauser"	"Buergerforum Oesterreich -- Liste Fritz Dinkhauser"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	59	1746	11	NA
"AUT"	"Austria"	"Gruene"	"The Greens -- The Green Alternative"	"Die Grünen – Die Grüne Alternative"	"Die Gruenen -- Die Gruene Alternative"	"eco"	"Green/Ecologist"	2.4604	2.7489	1.4308	6.6845	42110	9	1040110	NA	307	1304	4829	1304	59	1429	19	1304
"AUT"	"Austria"	"KPO"	"Communist Party of Austria"	"Kommunistische Partei Österreichs"	"Kommunistische Partei Oesterreichs"	"com"	"Communist/Socialist"	0.5	1.4	3	0	42220	3	1040220	201	NA	1305	NA	NA	59	769	14	NA
"AUT"	"Austria"	"LIF"	"Liberal Forum"	"Liberales Forum"	"Liberales Forum"	"lib"	"Liberal"	4.8806	7.3667	1.8667	9.6125	42421	NA	1040422	NA	310	1306	NA	1306	59	955	6	1306
"AUT"	"Austria"	"Martin"	"Hans-Peter Martin's List"	"Liste Dr. Hans-Peter Martin"	"Liste Dr. Hans-Peter Martin"	"spec"	"Special issue"	4.2	5	3.4	2.85	NA	NA	1040951	NA	NA	NA	NA	1308	59	669	16	1308
"AUT"	"Austria"	"N"	"Citizens' Initiative for the retention of neutrality"	"Die Neutralen – Bürgerinitiative"	"Die Neutralen -- Buergerinitiative"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	1750	16	NA
"AUT"	"Austria"	"NEOS"	"NEOS -- The New Austria"	"NEOS – Das Neue Österreich"	"NEOS -- Das Neue Oesterreich"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	59	2255	6	NA
"AUT"	"Austria"	"Nein"	"No -- Citizens' Initiative against EU membership"	"Nein – Bürgerinitiative gegen die EU Mitgliedschaft"	"Nein -- Buergerinitiative gegen die EU Mitgliedschaft"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	1744	16	NA
"AUT"	"Austria"	"OVP"	"Austrian People's Party"	"Österreichische Volkspartei"	"Oesterreichische Volkspartei"	"chr"	"Christian democracy"	6.4733	6.9485	7.6198	8.8451	42520	6	1040520	203	309	1302	4847	1302	59	1013	3	1302
"AUT"	"Austria"	"REKOS"	"The Reform Conservatives"	"Die Reformkonservativen – REKOS"	"Die Reformkonservativen -- REKOS"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	59	2339	26	NA
"AUT"	"Austria"	"SPO"	"Social Democratic Party of Austria"	"Sozialdemokratische Partei Österreichs"	"Sozialdemokratische Partei Oesterreichs"	"soc"	"Social democracy"	3.7293	3.4728	3.4766	8.4495	42320	11	1040320	202	308	1301	4865	1301	59	973	11	1301
"AUT"	"Austria"	"TS"	"Team Stronach"	"Team Stronach"	"Team Stronach"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	59	2150	6	NA
"AUT"	"Austria"	"VGO"	"United Greens Austria"	"Vereinte Grüne Österreichs"	"Vereinte Gruene Oesterreichs"	"eco"	"Green/Ecologist"	2.6	2.6	1.7	6.6	NA	NA	NA	NA	NA	NA	NA	NA	59	1740	19	NA
"AUT"	"Austria"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	2055	12	NA
"AUT"	"Austria"	"none"	"no party affiliation"	"Parteilose"	"Parteilose"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	272	12	NA
"AUT"	"Austria"	"todo"	"to be coded"	"to be coded"	"to be coded"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	1039	12	NA
"BEL"	"Belgium"	" Spirit"	" Spirit"	" Spirit"	" Spirit"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	20	1056328	NA	NA	NA	NA	118	64	1487	6	118
"BEL"	"Belgium"	"AGL-Gr"	"Agalev -- Green"	"Agalev – Groen"	"Agalev -- Groen"	"eco"	"Green/Ecologist"	2.5762	2.0089	1.0234	7.2593	21112	13	1056112	305	401	105	4963	105	64	1594	19	105
"BEL"	"Belgium"	"BSP-PSB"	"Belgian Socialist Party"	"Belgische Socialistische Partij – Parti Socialiste Belge"	"Belgische Socialistische Partij -- Parti Socialiste Belge"	"soc"	"Social democracy"	2.5	3.5	3.6	8.1	21320	NA	NA	302	NA	NA	NA	NA	64	167	11	NA
"BEL"	"Belgium"	"CD+NVA"	"Christian-Democrat and Flemish / New Flemish Alliance"	"Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie"	"Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	NA	NA	NA	NA	NA	NA	NA	NA	64	972	3	109
"BEL"	"Belgium"	"CSP"	"Christian Social Party"	"Christlich Soziale Partei"	"Christlich Soziale Partei"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	NA	NA	NA	NA	NA	NA	NA	NA	64	119	3	NA
"BEL"	"Belgium"	"CVP"	"Flemish Christian Peoples Party"	"Christelijke Volkspartij"	"Christelijke Volkspartij"	"chr"	"Christian democracy"	5.7667	5.5876	7.2083	8.9013	21521	12	1056521	307	406	109	4883	109	64	723	3	109
"BEL"	"Belgium"	"DLB"	"Belgians, Rise Up!"	"Debout Les Belges!"	"Debout Les Belges!"	"right"	"Right-wing"	8.7	5.9	8.6	2.4	NA	NA	NA	NA	NA	NA	NA	NA	64	2368	40	NA
"BEL"	"Belgium"	"Ecolo"	"Confederated ecologists for the organisation of original struggles"	"Écologistes Confédérés pour l'organisation de luttes originales"	"Ecologistes Confederes pour l'organisation de luttes originales"	"eco"	"Green/Ecologist"	2.641	2.3887	1.3744	7.5411	21111	23	1056111	305	402	104	4923	104	64	161	19	104
"BEL"	"Belgium"	"FDF"	"Francophone Democratic Front"	"Front Démocratique des Francophones"	"Front Democratique des Francophones"	"lib"	"Liberal"	6.1259	6.25	5.8	8.7274	21912	NA	NA	306	408	111	NA	111	64	969	6	111
"BEL"	"Belgium"	"FN"	"National Front"	"Front National"	"Front National"	"right"	"Right-wing"	9.655	8.0831	9.1382	1.5539	NA	NA	1056710	NA	NA	NA	4943	115	64	171	40	115
"BEL"	"Belgium"	"KLS"	"Cartel of Liberals and Socialists"	"Kartel Liberale en Socialistische"	"Kartel Liberale en Socialistische"	"soc"	"Social democracy"	3.3	3.5	3.6	8.1	NA	NA	NA	NA	NA	NA	NA	NA	64	1335	11	NA
"BEL"	"Belgium"	"KPB-PCB"	"Communist Party"	"Kommunistische Partij – Parti Communiste"	"Kommunistische Partij -- Parti Communiste"	"com"	"Communist/Socialist"	1.4	1.4	3	4.45	NA	NA	NA	301	NA	101	NA	NA	64	708	14	NA
"BEL"	"Belgium"	"LC"	"Catholics Lists"	"Listes catholiques"	"Listes catholiques"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	1268	16	NA
"BEL"	"Belgium"	"LD"	"List Dedecker"	"Lijst Dedecker"	"Lijst Dedecker"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	14	1056600	NA	NA	NA	NA	117	64	221	6	117
"BEL"	"Belgium"	"LP-PL"	"Liberal Party"	"Liberale Partij – Parti libéral"	"Liberale Partij -- Parti liberal"	"lib"	"Liberal"	6	6.7	3.5	8.8	21420	NA	NA	NA	NA	NA	NA	NA	64	63	6	NA
"BEL"	"Belgium"	"MCC"	"Citizens' Movement for Change"	"Mouvement des Citoyens pour le Changement"	"Mouvement des Citoyens pour le Changement"	"chr"	"Christian democracy"	5.5714	5.8	5.8	9.0476	NA	NA	NA	NA	NA	NA	NA	113	64	656	3	113
"BEL"	"Belgium"	"MR"	"Reformist Movement"	"Mouvement Réformateur"	"Mouvement Reformateur"	"lib"	"Liberal"	6.6889	7.1934	4.2102	8.3003	21422	22	1056427	310	NA	NA	4983	106	64	915	6	106
"BEL"	"Belgium"	"N-VA"	"New Flemish Alliance"	"Nieuw-Vlaamse Alliantie"	"Nieuw-Vlaamse Alliantie"	"con"	"Conservative"	6.5321	5.8809	6.06	6.4243	21913	15	1056913	309	407	110	5003	110	64	501	26	110
"BEL"	"Belgium"	"PA-PT"	"Workers' Party of Belgium"	"Partij van de Arbeid – Parti du Travail de Belgique"	"Partij van de Arbeid -- Parti du Travail de Belgique"	"com"	"Communist/Socialist"	1.3	1.4	3	3.3	NA	17	1056222	NA	NA	NA	NA	119	64	256	14	119
"BEL"	"Belgium"	"PL(B)"	"Liberal Party [Brussels Region]"	"Parti Libéral [Région bruxelloise]"	"Parti Liberal [Region bruxelloise]"	"lib"	"Liberal"	6	6.7	3.5	8.8	21424	NA	NA	NA	NA	NA	NA	NA	64	640	6	NA
"BEL"	"Belgium"	"PRL"	"Liberal Reformist Party"	"Parti Réformateur Libéral"	"Parti Reformateur Liberal"	"lib"	"Liberal"	6.8551	7.2667	4.4381	9.0856	21422	NA	NA	310	409	107	NA	106	64	454	6	NA
"BEL"	"Belgium"	"PS"	"Francophone Socialist Party"	"Parti Socialiste"	"Parti Socialiste"	"soc"	"Social democracy"	2.9307	2.5938	3.1712	8.1465	21322	24	1056322	302	403	102	5023	102	64	1378	11	102
"BEL"	"Belgium"	"PSC-CDH"	"Francophone Christian Social Party -- Humanist Democratic Centre"	"Parti Social Chrétien – Centre Democrate Humaniste"	"Parti Social Chretien -- Centre Democrate Humaniste"	"chr"	"Christian democracy"	5.4974	5.3711	6.6409	8.7795	21522	21	1056522	308	405	108	4903	108	64	1192	3	108
"BEL"	"Belgium"	"PSC-CVP"	"Francophone Christian Social Party and Flemish Christian People's Party"	"Parti Social Chrétien – Christelijke Volkspartij"	"Parti Social Chretien -- Christelijke Volkspartij"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3	21520	NA	NA	NA	NA	NA	NA	NA	64	1051	3	NA
"BEL"	"Belgium"	"PVV|VLD"	"Party of Liberty and Progress | Flemish Liberals and Democrats"	"Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten"	"Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten"	"lib"	"Liberal"	7.0053	7.7639	3.7139	8.7549	21421	16	1056421	311	NA	106	5083	107	64	1110	6	107
"BEL"	"Belgium"	"Pp"	"People's Party"	"Parti populaire"	"Parti populaire"	"con"	"Conservative"	7.4	6.4	6.9	7.8	NA	NA	NA	NA	NA	NA	NA	NA	64	438	26	120
"BEL"	"Belgium"	"ROSSEM"	"Radical Reformers Fighting for an Upright Society"	"Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij"	"Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	113	NA	NA	64	748	6	NA
"BEL"	"Belgium"	"RW"	"Walloon Rally"	"Rassemblement Wallon"	"Rassemblement Wallon"	"spec"	"Special issue"	2.6	NA	NA	NA	21911	NA	NA	303	NA	NA	NA	NA	64	460	16	NA
"BEL"	"Belgium"	"RvA-UpD"	"Respect for Labour"	"Respect voor Arbeid en Democratie – Union pour la Democratie et le Respect du Travail"	"Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail"	"right"	"Right-wing"	9.2	5.9	8.6	2.4	NA	NA	NA	312	NA	NA	NA	NA	64	1440	40	NA
"BEL"	"Belgium"	"SP"	"Socialist Party"	"Socialistische Partij"	"Socialistische Partij"	"soc"	"Social democracy"	3.2459	3.0183	3.0805	7.9023	21321	18	1056327	304	404	103	5043	103	64	1029	11	103
"BEL"	"Belgium"	"SPa+Spi"	"Socialist Party Different / Social Liberal Party"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"soc"	"Social democracy"	3.255	3.0183	3.0805	7.6571	21321	NA	NA	NA	NA	NA	5043	103	64	1113	11	103
"BEL"	"Belgium"	"UDB"	"Belgian Democratic Union"	"Union Democratique Belge"	"Union Democratique Belge"	"code"	"to be coded"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	1181	28	NA
"BEL"	"Belgium"	"V"	"Alive"	"Vivant"	"Vivant"	"lib"	"Liberal"	6	6.7	3.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	64	620	6	NA
"BEL"	"Belgium"	"VB"	"Flemish Block"	"Vlaams Blok"	"Vlaams Blok"	"right"	"Right-wing"	9.6622	7.695	9.5234	2.756	21914	19	1056711	313	NA	112	5063	112	64	993	40	112
"BEL"	"Belgium"	"VU"	"People's Union"	"Volksunie"	"Volksunie"	"right"	"Right-wing"	6.5321	5.8809	6.06	6.4243	21913	NA	NA	309	407	110	5003	110	64	290	40	110
"BEL"	"Belgium"	"WOW"	"Growing Old in Dignity"	"Waardig Ouder Worden"	"Growing Old in Dignity"	"spec"	"Special issue"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	470	16	NA
"BEL"	"Belgium"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	2052	12	NA
"BEL"	"Belgium"	"none"	"no party affiliation"	"no party affiliation"	"no party affiliation"	"none"	"no family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	1458	12	NA
