COUNTRY,YEAR, NeighborSpendCnstUSD11 ,
Lithuania,2011," $80,746,000,000.00 ",
Lithuania,2012," $91,616,000,000.00 ",
Lithuania,2013," $95,523,000,000.00 ",
Luxembourg,2000," $118,522,000,000.00 ",
Luxembourg,2001," $117,214,000,000.00 ",
Luxembourg,2002," $118,438,000,000.00 ",
Luxembourg,2003," $119,725,000,000.00 ",
Luxembourg,2004," $119,872,000,000.00 ",
Luxembourg,2005," $117,521,000,000.00 ",
Luxembourg,2006," $116,742,000,000.00 ",
Luxembourg,2007," $117,429,000,000.00 ",
Luxembourg,2008," $118,617,000,000.00 ",
Luxembourg,2009," $124,425,000,000.00 ",
Luxembourg,2010," $121,536,000,000.00 ",
Luxembourg,2011," $118,299,000,000.00 ",
Luxembourg,2012," $118,489,000,000.00 ",
Luxembourg,2013," $116,856,000,000.00 ",
Macedonia,2000," $12,452,100,000.00 ",
Macedonia,2001," $12,022,000,000.00 ",
Macedonia,2002," $11,988,000,000.00 ",
Macedonia,2003," $10,506,000,000.00 ",
Macedonia,2004," $11,192,000,000.00 ",
Macedonia,2005," $11,748,000,000.00 ",
Macedonia,2006," $12,156,000,000.00 ",
Macedonia,2007," $12,492,000,000.00 ",
Macedonia,2008," $13,388,000,000.00 ",
Macedonia,2009," $13,866,000,000.00 ",
Macedonia,2010," $11,067,000,000.00 ",
Macedonia,2011," $9,145,000,000.00 ",
Macedonia,2012," $8,306,000,000.00 ",
Macedonia,2013," $8,105,000,000.00 ",
Malta,2000, $-   ,
Malta,2001, $-   ,
Malta,2002, $-   ,
Malta,2003, $-   ,
Malta,2004, $-   ,
Malta,2005, $-   ,
Malta,2006, $-   ,
Malta,2007, $-   ,
Malta,2008, $-   ,
Malta,2009, $-   ,
Malta,2010, $-   ,
Malta,2011, $-   ,
Malta,2012, $-   ,
Malta,2013, $-   ,
Montenegro,2000,#VALUE!,
Montenegro,2001,#VALUE!,
Montenegro,2002," $1,994,000,000.00 ",
Montenegro,2003," $1,691,000,000.00 ",
Montenegro,2004," $1,574,000,000.00 ",
Montenegro,2005," $1,343,000,000.00 ",
Montenegro,2006," $1,372,000,000.00 ",
Montenegro,2007," $1,533,000,000.00 ",
Montenegro,2008," $1,544,000,000.00 ",
Montenegro,2009," $1,567,000,000.00 ",
Montenegro,2010," $1,469,000,000.00 ",
Montenegro,2011," $1,396,000,000.00 ",
Montenegro,2012," $1,360,000,000.00 ",
Montenegro,2013," $1,291,000,000.00 ",
Netherlands,2000," $56,739,000,000.00 ",
Netherlands,2001," $55,638,000,000.00 ",
Netherlands,2002," $55,598,000,000.00 ",
Netherlands,2003," $54,976,000,000.00 ",
Netherlands,2004," $53,346,000,000.00 ",
Netherlands,2005," $52,398,000,000.00 ",
Netherlands,2006," $51,272,000,000.00 ",
Netherlands,2007," $51,738,000,000.00 ",
Netherlands,2008," $53,580,000,000.00 ",
Netherlands,2009," $54,999,000,000.00 ",
Netherlands,2010," $55,285,000,000.00 ",
Netherlands,2011," $53,666,000,000.00 ",
Netherlands,2012," $54,753,000,000.00 ",
Netherlands,2013," $54,584,000,000.00 ",
Poland,2000," $89,099,000,000.00 ",
Poland,2001," $90,671,000,000.00 ",
Poland,2002," $94,769,000,000.00 ",
Poland,2003," $96,588,000,000.00 ",
Poland,2004," $96,926,000,000.00 ",
Poland,2005," $102,919,000,000.00 ",
Poland,2006," $107,108,000,000.00 ",
Poland,2007," $112,472,000,000.00 ",
Poland,2008," $118,784,000,000.00 ",
Poland,2009," $122,906,000,000.00 ",
Poland,2010," $124,422,000,000.00 ",
Poland,2011," $126,960,000,000.00 ",
Poland,2012," $139,489,000,000.00 ",
Poland,2013," $144,013,000,000.00 ",
Portugal,2000," $14,364,000,000.00 ",
Portugal,2001," $14,548,000,000.00 ",
Portugal,2002," $14,897,000,000.00 ",
Portugal,2003," $14,755,000,000.00 ",
Portugal,2004," $15,230,000,000.00 ",
Portugal,2005," $15,339,000,000.00 ",
Portugal,2006," $17,932,000,000.00 ",
Portugal,2007," $18,527,000,000.00 ",
Portugal,2008," $18,584,000,000.00 ",
Portugal,2009," $17,820,000,000.00 ",
Portugal,2010," $15,977,000,000.00 ",
Portugal,2011," $13,990,000,000.00 ",
Portugal,2012," $14,700,000,000.00 ",
Portugal,2013," $12,822,000,000.00 ",
Romania,2000," $7,058,400,000.00 ",
Romania,2001," $6,669,900,000.00 ",
Romania,2002," $6,886,700,000.00 ",
Romania,2003," $7,235,300,000.00 ",
Romania,2004," $7,136,200,000.00 ",
Romania,2005," $7,523,200,000.00 ",
Romania,2006," $7,704,900,000.00 ",
Romania,2007," $8,837,600,000.00 ",
Romania,2008," $8,366,700,000.00 ",
Romania,2009," $7,599,300,000.00 ",
Romania,2010," $7,468,800,000.00 ",
Romania,2011," $7,232,300,000.00 ",
Romania,2012," $7,821,000,000.00 ",
Romania,2013," $8,355,900,000.00 ",
Serbia,2000,#VALUE!,
Serbia,2001,#VALUE!,
Serbia,2002,#VALUE!,
Serbia,2003,#VALUE!,
Serbia,2004," $7,131,000,000.00 ",
Serbia,2005," $7,319,000,000.00 ",
Serbia,2006," $7,287,300,000.00 ",
Serbia,2007," $7,476,200,000.00 ",
Serbia,2008," $7,593,800,000.00 ",
Serbia,2009," $6,796,700,000.00 ",
Serbia,2010," $6,224,400,000.00 ",
Serbia,2011," $6,195,400,000.00 ",
Serbia,2012," $6,215,700,000.00 ",
Serbia,2013," $5,954,300,000.00 ",
Slovakia,2000," $17,716,000,000.00 ",
Slovakia,2001," $17,371,000,000.00 ",
Slovakia,2002," $17,710,000,000.00 ",
Slovakia,2003," $18,908,000,000.00 ",
Slovakia,2004," $19,102,000,000.00 ",
Slovakia,2005," $20,405,000,000.00 ",
Slovakia,2006," $20,653,000,000.00 ",
Slovakia,2007," $23,041,000,000.00 ",
Slovakia,2008," $21,321,000,000.00 ",
Slovakia,2009," $20,933,000,000.00 ",
Slovakia,2010," $21,006,000,000.00 ",
Slovakia,2011," $20,734,000,000.00 ",
Slovakia,2012," $21,280,000,000.00 ",
Slovakia,2013," $21,492,000,000.00 ",
Slovenia,2000," $50,096,000,000.00 ",
Slovenia,2001," $49,250,000,000.00 ",
Slovenia,2002," $50,390,000,000.00 ",
Slovenia,2003," $50,786,000,000.00 ",
Slovenia,2004," $50,660,000,000.00 ",
Slovenia,2005," $48,939,000,000.00 ",
Slovenia,2006," $47,228,000,000.00 ",
Slovenia,2007," $46,673,000,000.00 ",
Slovenia,2008," $48,002,000,000.00 ",
Slovenia,2009," $46,284,000,000.00 ",
Slovenia,2010," $44,887,000,000.00 ",
Slovenia,2011," $44,138,000,000.00 ",
Slovenia,2012," $41,215,000,000.00 ",
Slovenia,2013," $38,097,000,000.00 ",
Spain,2000," $66,176,000,000.00 ",
Spain,2001," $66,144,000,000.00 ",
Spain,2002," $67,537,000,000.00 ",
Spain,2003," $69,281,000,000.00 ",
Spain,2004," $71,339,000,000.00 ",
Spain,2005," $70,225,000,000.00 ",
Spain,2006," $70,427,000,000.00 ",
Spain,2007," $70,435,000,000.00 ",
Spain,2008," $69,799,000,000.00 ",
Spain,2009," $74,631,000,000.00 ",
Spain,2010," $71,545,000,000.00 ",
Spain,2011," $69,499,000,000.00 ",
Spain,2012," $68,095,000,000.00 ",
Spain,2013," $67,114,000,000.00 ",
Sweeden,2000," $8,509,000,000.00 ",
Sweeden,2001," $8,411,000,000.00 ",
Sweeden,2002," $9,616,000,000.00 ",
Sweeden,2003," $9,795,000,000.00 ",
Sweeden,2004," $10,154,000,000.00 ",
Sweeden,2005," $9,845,000,000.00 ",
Sweeden,2006," $9,894,000,000.00 ",
Sweeden,2007," $10,095,000,000.00 ",
Sweeden,2008," $10,387,000,000.00 ",
Sweeden,2009," $10,982,000,000.00 ",
Sweeden,2010," $10,791,000,000.00 ",
Sweeden,2011," $10,983,000,000.00 ",
Sweeden,2012," $10,596,000,000.00 ",
Sweeden,2013," $10,642,000,000.00 ",
Turkey,2000,#VALUE!,
Turkey,2001,#VALUE!,
Turkey,2002,#VALUE!,
Turkey,2003,#VALUE!,
Turkey,2004," $26,645,000,000.00 ",
Turkey,2005," $31,255,000,000.00 ",
Turkey,2006," $32,222,000,000.00 ",
Turkey,2007," $31,323,000,000.00 ",
Turkey,2008," $29,232,000,000.00 ",
Turkey,2009," $29,000,000,000.00 ",
Turkey,2010," $27,983,000,000.00 ",
Turkey,2011," $28,228,000,000.00 ",
Turkey,2012,#VALUE!,
Turkey,2013,#VALUE!,
UK,2000," $1,373,000,000.00 ",
UK,2001," $1,489,000,000.00 ",
UK,2002," $1,430,000,000.00 ",
UK,2003," $1,371,000,000.00 ",
UK,2004," $1,392,000,000.00 ",
UK,2005," $1,410,000,000.00 ",
UK,2006," $1,398,000,000.00 ",
UK,2007," $1,408,000,000.00 ",
UK,2008," $1,459,000,000.00 ",
UK,2009," $1,440,000,000.00 ",
UK,2010," $1,373,000,000.00 ",
UK,2011," $1,301,000,000.00 ",
UK,2012," $1,232,000,000.00 ",
UK,2013," $1,220,000,000.00 ",
