COUNTRY,YEAR,THREAT
Turkey,2006,0.06
Turkey,2007,0.05
Turkey,2008,0.04
Turkey,2009,0.05
Turkey,2010,0.04
Turkey,2011,0.04
Turkey,2012,#VALUE!
Turkey,2013,#VALUE!
UK,2000,0.00
UK,2001,0.00
UK,2002,0.00
UK,2003,0.00
UK,2004,0.00
UK,2005,0.00
UK,2006,0.00
UK,2007,0.00
UK,2008,0.00
UK,2009,0.00
UK,2010,0.00
UK,2011,0.00
UK,2012,0.00
UK,2013,0.00
